iter_b,zero_prob_b,one_prob_b
1153,0.06,0.94
1154,0.06,0.94
1155,0.06,0.94
1156,0.06,0.94
1157,0.06,0.94
1158,0.06,0.94
1159,0.06,0.94
1160,0.06,0.94
1161,0.06,0.94
1162,0.06,0.94
1163,0.06,0.94
1164,0.06,0.94
1165,0.06,0.94
1166,0.06,0.94
1167,0.06,0.94
1168,0.06,0.94
1169,0.06,0.94
1170,0.06,0.94
1171,0.06,0.94
1172,0.06,0.94
1173,0.06,0.94
1174,0.06,0.94
1175,0.06,0.94
1176,0.06,0.94
1177,0.06,0.94
1178,0.06,0.94
1179,0.06,0.94
1180,0.06,0.94
1181,0.06,0.94
1182,0.06,0.94
1183,0.06,0.94
1184,0.06,0.94
1185,0.06,0.94
1186,0.06,0.94
1187,0.06,0.94
1188,0.06,0.94
1189,0.06,0.94
1190,0.06,0.94
1191,0.06,0.94
1192,0.06,0.94
1193,0.06,0.94
1194,0.06,0.94
1195,0.06,0.94
1196,0.06,0.94
1197,0.06,0.94
1198,0.06,0.94
1199,0.06,0.94
1200,0.06,0.94
1201,0.06,0.94
1202,0.06,0.94
1203,0.06,0.94
1204,0.06,0.94
1205,0.06,0.94
1206,0.06,0.94
1207,0.06,0.94
1208,0.06,0.94
1209,0.06,0.94
1210,0.06,0.94
1211,0.06,0.94
1212,0.06,0.94
1213,0.06,0.94
1214,0.06,0.94
1215,0.06,0.94
1216,0.06,0.94
1217,0.06,0.94
1218,0.06,0.94
1219,0.06,0.94
1220,0.06,0.94
1221,0.06,0.94
1222,0.06,0.94
1223,0.06,0.94
1224,0.06,0.94
1225,0.06,0.94
1226,0.06,0.94
1227,0.06,0.94
1228,0.06,0.94
1229,0.06,0.94
1230,0.06,0.94
1231,0.06,0.94
1232,0.06,0.94
1233,0.06,0.94
1234,0.06,0.94
1235,0.06,0.94
1236,0.06,0.94
1237,0.05,0.95
1238,0.05,0.95
1239,0.05,0.95
1240,0.05,0.95
1241,0.05,0.95
1242,0.05,0.95
1243,0.05,0.95
1244,0.05,0.95
1245,0.05,0.95
1246,0.05,0.95
1247,0.05,0.95
1248,0.05,0.95
1249,0.05,0.95
1250,0.05,0.95
1251,0.05,0.95
1252,0.05,0.95
1253,0.05,0.95
1254,0.05,0.95
1255,0.05,0.95
1256,0.05,0.95
1257,0.05,0.95
1258,0.05,0.95
1259,0.05,0.95
1260,0.05,0.95
1261,0.05,0.95
1262,0.05,0.95
1263,0.05,0.95
1264,0.06,0.94
1265,0.06,0.94
1266,0.06,0.94
1267,0.06,0.94
1268,0.06,0.94
1269,0.06,0.94
1270,0.06,0.94
1271,0.06,0.94
1272,0.06,0.94
1273,0.05,0.95
1274,0.05,0.95
1275,0.05,0.95
1276,0.05,0.95
1277,0.05,0.95
1278,0.05,0.95
1279,0.05,0.95
1280,0.05,0.95
1281,0.05,0.95
1282,0.05,0.95
1283,0.05,0.95
1284,0.05,0.95
1285,0.05,0.95
1286,0.05,0.95
1287,0.05,0.95
1288,0.05,0.95
1289,0.05,0.95
1290,0.05,0.95
1291,0.05,0.95
1292,0.05,0.95
1293,0.05,0.95
1294,0.05,0.95
1295,0.05,0.95
1296,0.05,0.95
1297,0.05,0.95
1298,0.05,0.95
1299,0.05,0.95
1300,0.05,0.95
1301,0.05,0.95
1302,0.05,0.95
1303,0.05,0.95
1304,0.05,0.95
1305,0.05,0.95
1306,0.05,0.95
1307,0.05,0.95
1308,0.05,0.95
1309,0.05,0.95
1310,0.05,0.95
1311,0.05,0.95
1312,0.05,0.95
1313,0.05,0.95
1314,0.05,0.95
1315,0.05,0.95
1316,0.05,0.95
1317,0.05,0.95
1318,0.05,0.95
1319,0.05,0.95
1320,0.05,0.95
1321,0.05,0.95
1322,0.05,0.95
1323,0.05,0.95
1324,0.05,0.95
1325,0.05,0.95
1326,0.05,0.95
1327,0.05,0.95
1328,0.05,0.95
1329,0.05,0.95
1330,0.05,0.95
1331,0.05,0.95
1332,0.05,0.95
1333,0.05,0.95
1334,0.05,0.95
1335,0.05,0.95
1336,0.05,0.95
1337,0.05,0.95
1338,0.05,0.95
1339,0.05,0.95
1340,0.05,0.95
1341,0.05,0.95
1342,0.05,0.95
1343,0.05,0.95
1344,0.05,0.95
1345,0.05,0.95
1346,0.05,0.95
1347,0.05,0.95
1348,0.05,0.95
1349,0.05,0.95
1350,0.05,0.95
1351,0.05,0.95
1352,0.05,0.95
